epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8342,1.05682,2.64209,1.57575,0.00333,1,0.24132,0.0947,0.24396,3.10069,0.90732,0.000444444,0.000444444,0.000444444
2,35.6473,0.40648,2.36029,1.14235,0.00333,1,0.9725,0.71202,0.29453,3.11862,0.88599,0.00110011,0.00110011,0.00110011
3,49.6189,0.47005,2.1578,1.11623,0.00333,1,0.88164,0.76446,0.45332,3.26964,0.9643,0.00174258,0.00174258,0.00174258
4,63.7299,0.52922,1.97226,1.11922,0.00333,1,0.80072,0.25309,1.44581,3.96302,2.90841,0.0019406,0.0019406,0.0019406
5,77.4445,0.60133,1.78338,1.20239,0.00091,0.27273,0.0151,0.00224,4.17636,6.5705,7.41353,0.0019208,0.0019208,0.0019208
6,90.6151,0.77246,1.69395,1.35052,0.00091,0.27273,0.0151,0.00224,4.17636,6.5705,7.41353,0.001901,0.001901,0.001901
7,104.353,0.60995,1.54489,1.15797,0.00152,0.45455,0.12769,0.05569,2.67678,4.68479,4.7088,0.0018812,0.0018812,0.0018812
8,118.091,0.52533,1.41009,1.15298,0.00061,0.18182,0.09909,0.05782,4.75414,6.79249,6.84814,0.0018614,0.0018614,0.0018614
9,131.831,0.45681,1.29779,1.09473,0,0,0,0,5.14227,7.19173,6.40392,0.0018416,0.0018416,0.0018416
10,145.551,0.3826,1.16401,1.05397,0,0,0,0,5.14227,7.19173,6.40392,0.0018218,0.0018218,0.0018218
11,159.235,0.42579,1.07869,1.0709,0,0,0,0,5.3398,6.93589,8.13372,0.001802,0.001802,0.001802
12,173.557,0.37726,0.9854,1.05274,0.00182,0.54545,0.02113,0.0027,3.83464,4.78388,4.50572,0.0017822,0.0017822,0.0017822
13,187.142,0.38504,0.94355,1.02742,0.00333,1,0.10686,0.0198,2.31303,3.63755,3.84961,0.0017624,0.0017624,0.0017624
14,200.918,0.43691,0.99856,1.04448,0.00333,1,0.10686,0.0198,2.31303,3.63755,3.84961,0.0017426,0.0017426,0.0017426
15,214.756,0.39223,0.89368,1.04098,0.00333,1,0.09087,0.02011,2.36173,3.97094,3.60893,0.0017228,0.0017228,0.0017228
16,228.22,0.3595,0.80443,1.00356,0.00152,0.45455,0.00551,0.00114,3.78655,4.65804,4.82749,0.001703,0.001703,0.001703
17,242.388,0.32324,0.78985,0.99465,0.00273,0.81818,0.01246,0.0024,3.36032,4.15971,4.45193,0.0016832,0.0016832,0.0016832
18,256.206,0.34409,0.74561,1.0334,0.00273,0.81818,0.01246,0.0024,3.36032,4.15971,4.45193,0.0016634,0.0016634,0.0016634
19,269.888,0.29449,0.73258,1.04547,0.00333,1,0.06233,0.01344,3.09885,3.74975,5.04352,0.0016436,0.0016436,0.0016436
